"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",9,"Candy Canes;Christmas cake/fruit cake","Champagne;Wine","Bread rolls;Chicken;Ham","Presents family tree","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Christmas cake/fruit cake;Cookies;Pie (apple);Pie (pumpkin)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Commercialized money family","","",NA,"","Female","18-24","Christianity, other","3+ times a month","Christianity, other","3+ times a month","West"
"No","","","","",NA,"","","","","Order food from a restaurant","Yes, but they didn't say they were from Santa",NA,"warm quiet lazy","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies","Apple cider;Wine","Bread rolls;Ham;Mashed potatoes","family fun happy","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Never","Yes, and they claimed they were from Santa",12,"Cookies;Pie (any)","Eggnog;Wine","Fish;Ham","away from home","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, other","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","No",NA,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple)","Champagne;Eggnog;Wine","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Magic love indulgence","","",NA,"","Female","55+","Other","Rarely","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","No",NA,"","","Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Birth Christ holy","","",NA,"","Male","45-54","Christianity, Evangelical","3+ times a month","Judaism","Rarely","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",12,"Cookies;Gingerbread;Pie (pumpkin)","Apple cider;Wine","Bread rolls;Ham;Mashed potatoes","Warm Green Love","","",NA,"","Female","18-24","Christianity, non-Evangelical Protestant","3+ times a month","Atheist/agnostic","Never","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin)","Eggnog","Ham;Mashed potatoes","relaxed happy comfortable","","",NA,"","Male","25-34","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes","Happy birthday Jesus","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",7,"Christmas cake/fruit cake;Cookies","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Birth of Christ","","",NA,"","Female","45-54","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","1-2 times a month","Southeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any);Pie (apple);Pie (pumpkin)","Eggnog","Bread rolls;Chicken;Mashed potatoes;Stuffing/Dressing;Turkey","cheerful family fun","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Attend religious service;Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls;Chicken;Ham","joy peace love","","",NA,"","Male","25-34","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Southeast"
"Yes","Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",5,"Cookies;Pie (any)","Apple cider;Buttered rum;Eggnog;Wine","Bread rolls;Mashed potatoes","Togetherness Materialistic Cheerful","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Never","Yes, and they claimed they were from Santa",NA,"","Champagne;Wine","Bread rolls;Chicken;Ham","Family food gifts","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any);Pie (apple)","","Bread rolls;Ham;Macaroni and cheese","Jesus Emanuel advent","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family;Spend time with friends","Yes, and they claimed they were from Santa",7,"Cold bright loud","Other","25-34","Other","Never","Christianity, non-Evangelical Protestant","1-2 times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any);Pie (pecan)","Apple cider","Bread rolls;Ham","Family friends Jesus","","",NA,"","Male","Under 18","Christianity, non-Evangelical Protestant","3+ times a month","I am still under 18","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any);Pie (apple);Pie (pumpkin)","Champagne","Bread rolls;Mashed potatoes;Stuffing/Dressing","excessive family fun","","",NA,"","Male","55+","Christianity, other","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",5,"","Champagne;Wine","Stuffing/Dressing;Turkey","festive food family","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
